Code Ana;Analyte;Anonymat;Controle;Unite;Tech;App;Tri;Resultat;Effectif pairs;Cible pairs;ET pairs;Biais % pairs;Biais |c| pairs;z score pairs;Note pairs;Effectif ens;Cible ens;ET ens;Biais % ens;Biais |c| ens;z score ens;Note ens;Date;LA %;Opérateur
A3;Antithrombine activité;1952A;21HA08;%;S5;PB6;XX;37,2;14;36,6;2,8;1,6;0,6;0,2;TB;264;38,1;4,0;-2,4;-0,9;-0,2;TB;02/06/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;21HA08;%;S5;PB6;XX;40,2;14;36,6;2,8;9,8;3,6;1,2;B+;264;38,1;4,0;5,5;2,1;0,5;TB;02/06/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;21HA11;%;S5;PB6;XX;94,5;14;89,3;2,8;5,8;5,2;1,7;B+;242;92,0;5,2;2,7;2,5;0,5;TB;28/07/2021;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;21HA11;%;S5;PB6;XX;92,6;14;89,3;2,8;3,7;3,3;1,1;TB;242;92,0;5,2;0,7;0,6;0,1;TB;28/07/2021;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;21HA12;%;S5;PB6;XX;38;14;35,8;1,9;6,1;2,2;1,1;TB;243;38,4;4,1;-1,0;-0,4;-0,1;TB;28/07/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;21HA12;%;S5;PB6;XX;38;14;35,8;1,9;6,1;2,2;1,1;TB;243;38,4;4,1;-1,0;-0,4;-0,1;TB;28/07/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;21HA13;%;S5;PB6;XX;75,4;15;68,3;3,2;10,4;7,1;2,1;B+;267;70,7;4,5;6,6;4,7;1,0;B+;01/09/2021;10,0;Maud LEBAS
A3;Antithrombine activité;1952B;21HA13;%;S5;PB6;XX;76,6;15;68,3;3,2;12,2;8,3;2,5;+1;267;70,7;4,5;8,3;5,9;1,3;B+;01/09/2021;10,0;Maud LEBAS
A3;Antithrombine activité;1952A;21HA14;%;S5;PB6;XX;40,3;15;36,9;2,4;9,2;3,4;1,4;B+;265;38,2;4,2;5,5;2,1;0,5;TB;01/09/2021;15,0;Maud LEBAS
A3;Antithrombine activité;1952B;21HA14;%;S5;PB6;XX;41,7;15;36,9;2,4;13,0;4,8;1,9;B+;265;38,2;4,2;9,2;3,5;0,8;B+;01/09/2021;15,0;Maud LEBAS
A3;Antithrombine activité;1952A;21HA19;%;S5;PB6;XX;96;14;90,8;4,9;5,7;5,2;1,0;B+;265;93,1;5,4;3,1;2,9;0,5;TB;01/12/2021;10,0;Marie BRIONNE-FRANCOIS
